architecture,representation,family,seed,fit_and_eval_seconds,has_probability_confidence,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,f1_happiness,f1_sadness,f1_loneliness,f1_anxiety,f1_anger,f1_cognitive_fog,f1_neutral
flat,minilm,logistic_regression,42,0.30088990001240745,True,0.8392857142857143,0.8523809523809524,0.8392857142857143,0.8355311355311356,0.8355311355311356,1.0,0.6153846153846154,0.8,0.9333333333333333,1.0,0.75,0.75
flat,minilm,linear_svm,42,1.1840432999888435,False,0.8214285714285714,0.8316326530612245,0.8214285714285714,0.8200680272108843,0.8200680272108843,1.0,0.75,0.8888888888888888,0.7777777777777778,0.8571428571428571,0.6666666666666666,0.8
hierarchy_a,minilm,linear_svm,42,1.5143765000393614,False,0.7857142857142857,0.8070294784580498,0.7857142857142857,0.7893023876217153,0.7893023876217153,0.9333333333333333,0.8,0.8235294117647058,0.7777777777777778,0.8571428571428571,0.6666666666666666,0.6666666666666666
hierarchy_b,minilm,logistic_regression,42,1.7407390999724157,True,0.7678571428571429,0.804814233385662,0.7678571428571429,0.7756702681072429,0.7756702681072429,0.9333333333333333,0.8,0.6666666666666666,0.8,0.8571428571428571,0.7058823529411765,0.6666666666666666
hierarchy_a,minilm,logistic_regression,42,2.47681660001399,True,0.7321428571428571,0.7774986917844061,0.7321428571428571,0.7428571428571428,0.7428571428571428,0.9333333333333333,0.8,0.5714285714285714,0.8,0.8571428571428571,0.6666666666666666,0.5714285714285714
hierarchy_a,tfidf,linear_svm,42,1.7573902000440285,False,0.7321428571428571,0.7386054421768707,0.7321428571428571,0.7321895424836601,0.7321895424836601,0.8,0.625,0.7777777777777778,0.75,0.6666666666666666,0.8,0.7058823529411765
hierarchy_b,tfidf,linear_svm,42,2.038261599955149,False,0.7321428571428571,0.7450989486703773,0.7321428571428571,0.7317788518916338,0.7317788518916338,0.8,0.5714285714285714,0.7777777777777778,0.6666666666666666,0.8,0.875,0.631578947368421
flat,tfidf,linear_svm,42,0.9693126000347547,False,0.7142857142857143,0.7493197278911564,0.7142857142857143,0.7158157577412235,0.7158157577412235,0.5333333333333333,0.46153846153846156,0.875,0.8,0.8571428571428571,0.875,0.6086956521739131
flat,tfidf,calibrated_svm,42,1.2378932999563403,True,0.7142857142857143,0.7465831787260359,0.7142857142857143,0.7079523859599047,0.7079523859599047,0.5714285714285714,0.46153846153846156,0.8421052631578947,0.8,0.7692307692307693,0.875,0.6363636363636364
hierarchy_b,minilm,linear_svm,42,0.9537732999888249,False,0.6964285714285714,0.7670377241805814,0.6964285714285714,0.7074803588043208,0.7074803588043208,0.7692307692307693,0.7142857142857143,0.5714285714285714,0.8,0.8571428571428571,0.631578947368421,0.6086956521739131
flat_v3_reference,tfidf,calibrated_svm_v3,42,0.0,True,0.7142857142857143,0.7229437229437229,0.7142857142857143,0.704678092559561,0.704678092559561,0.7142857142857143,0.5714285714285714,0.8421052631578947,0.6153846153846154,0.7058823529411765,0.7777777777777778,0.7058823529411765
hierarchy_a,tfidf,logistic_regression,42,3.1199090000009164,True,0.6607142857142857,0.6932539682539682,0.6607142857142857,0.6490271866322287,0.6490271866322287,0.5454545454545454,0.375,0.7777777777777778,0.5714285714285714,0.75,0.8235294117647058,0.7
flat,tfidf,logistic_regression,42,2.2034387000021525,True,0.6607142857142857,0.7135899814471244,0.6607142857142857,0.643971129121505,0.643971129121505,0.4,0.42857142857142855,0.8421052631578947,0.75,0.6666666666666666,0.875,0.5454545454545454
hierarchy_b,tfidf,logistic_regression,42,3.5439107000129297,True,0.6428571428571429,0.6868437118437118,0.6428571428571429,0.6234860610911032,0.6234860610911032,0.4,0.375,0.7777777777777778,0.5714285714285714,0.75,0.8235294117647058,0.6666666666666666
hierarchy_a,tfidf,calibrated_svm,42,2.67903210001532,True,0.6428571428571429,0.7243867243867245,0.6428571428571429,0.6217301274576817,0.6217301274576817,0.75,0.5263157894736842,0.8421052631578947,0.7,0.5882352941176471,0.4,0.5454545454545454
hierarchy_b,tfidf,calibrated_svm,42,3.130022299999837,True,0.6428571428571429,0.7243867243867245,0.6428571428571429,0.6217301274576817,0.6217301274576817,0.75,0.5263157894736842,0.8421052631578947,0.7,0.5882352941176471,0.4,0.5454545454545454
